id,len,0,1,2,3,4,5,6,7,time
000003FF,8,07,00,00,0D,8E,00,00,00,240.908110
000003FF,8,08,00,00,10,E0,00,00,00,240.909050
000003E9,8,17,00,01,5A,C7,00,00,00,240.942330
000003F0,8,0B,02,01,38,30,00,00,00,240.947110
000007C0,8,00,04,3A,01,03,00,00,00,240.950100
000007BD,8,00,04,3A,00,00,00,00,00,240.951030
000003FF,8,05,00,00,56,BC,00,00,00,240.989090
000003F6,8,18,04,00,00,00,00,00,00,241.062140
000003FF,8,05,00,00,56,BB,00,00,00,241.091070
00000722,8,FF,63,02,01,21,01,08,0A,241.142350
000003EA,8,18,00,00,00,CF,00,00,00,241.143290
000003E9,8,17,00,01,5B,50,00,00,00,241.144310
000003FF,8,05,00,00,56,BE,00,00,00,241.190140
00000405,8,16,00,00,AD,97,00,00,00,241.211050
000003FE,8,11,00,00,02,6D,00,00,00,241.211980
000003FE,8,12,00,00,09,B4,00,00,00,241.213010
0000040B,8,17,02,A6,19,C0,00,00,00,241.214030
0000040C,8,14,00,00,02,93,00,00,00,241.215060
0000040C,8,15,00,00,09,B4,00,00,00,241.215990
000003FF,8,06,00,00,54,D4,00,00,00,241.217020
000003FF,8,07,00,00,0D,98,00,00,00,241.218040
000003FF,8,08,00,00,10,D6,00,00,00,241.218980
00000404,8,09,00,00,00,00,00,00,00,241.220010
00000410,8,07,00,00,00,00,00,00,00,241.221030
000003F6,8,18,08,00,00,00,00,00,00,241.262160
000003FF,8,05,00,00,56,BD,00,00,00,241.300990
00000722,8,FF,00,3C,00,00,01,00,01,241.337170
000007BE,8,00,04,2D,21,01,08,00,00,241.342370
000003E9,8,17,00,01,5B,DA,00,00,00,241.343310
000003F0,8,0B,02,02,30,33,00,00,00,241.347150
000003FF,8,05,00,00,56,BE,00,00,00,241.399970
000007C0,8,00,04,3A,01,03,00,00,00,241.451000
000007BD,8,00,04,3A,00,00,00,00,00,241.451940
000003F6,8,18,0C,00,00,00,00,00,00,241.462180
